# 通信网络专业术语（扩展版）
# 格式：词语 频率 词性（n=名词，v=动词，a=形容词）

# 极简网络专项术语
极简网络 1000 n
汇聚区 1000 n
综合业务区 1000 n
架构节点 1000 n
综合业务接入点 1000 n
BBU集中点 1000 n
汇聚节点 1000 n
核心局 1000 n
网络层次 1000 n
接入段光缆 1000 n
主干光缆 1000 n
配线光缆 1000 n
配线光交 1000 n
用户引入层 1000 n
汇聚层 1000 n
接入层 1000 n
提级转段 1000 n
网络精简 1000 n
设备整合 1000 n
腾退机房 1000 n
退网 1000 n
下电 1000 n
割接 1000 n
业务迁转 1000 n
板卡调拨 1000 n
利旧 1000 n
资产处置 1000 n
跨区调拨 1000 n
跨省调拨 1000 n
资产台账 1000 n
资源台账 1000 n
资源可视 1000 n
资源统一调度 1000 n
资源利用率 1000 n
机房利用率 1000 n
设备利用率 1000 n
频率资源利用率 1000 n
槽位利用率 1000 n
板卡利用率 1000 n
负荷率 1000 n
PRB利用率 1000 n
端口类型 1000 n
端口演进 1000 n
网络扁平化 1000 n
网络效能 1000 n
业务端到端质量 1000 n
客户感知 1000 n
本质安全 1000 n
网络可靠性 1000 n
承载效能 1000 n
运营成本 1000 n
建设成本 1000 n
维护成本 1000 n
维保费 1000 n
CAPEX 1000 n
TCO 1000 n
投资效益 1000 n
投资回报 1000 n
成本管控 1000 n
成本最优 1000 n
效益最优 1000 n
资源集约 1000 n
资源调拨 1000 n
资源盘活 1000 n
资源挖潜 1000 n
存量资源 1000 n
增量资源 1000 n
资源储备 1000 n
资源协同 1000 n
资源匹配 1000 n
网业协同 1000 n
多专业协同 1000 n
跨专业协同 1000 n
专业协同 1000 n
协同建设 1000 n
协同优化 1000 n
协同提升 1000 n
统一联动 1000 n
协同机制 1000 n
工作机制 1000 n
闭环工作流程 1000 n
闭环管理 1000 n
数字化手段 1000 n
数字化验收 1000 n
数字化平台 1000 n
数字化计量 1000 n
在线监测 1000 n
实时计量 1000 n
精准计量 1000 n
能耗计量 1000 n
电能计量 1000 n
三级表计 1000 n
两级表计 1000 n
5级电表 1000 n
GIS呈现 1000 n
3D可视化 1000 n
可管 1000 n
可观测 1000 n
可维护 1000 n
可运营 1000 n
可扩展 1000 n
可复制 1000 n
可推广 1000 n
试点城市 1000 n
一城一策 1000 n
一局一案 1000 n
分级分档 1000 n
分区汇聚 1000 n
层间收敛 1000 n
端到端 1000 n
谋全局 1000 n
统筹考虑 1000 n
统筹推进 1000 n
有序推进 1000 n
稳步推进 1000 n
持续推进 1000 n
加快推进 1000 n
加快建设 1000 n
加快部署 1000 n
加快发展 1000 n
持续巩固 1000 n
持续优化 1000 n
持续提升 1000 n
持续改善 1000 n
持续改进 1000 n
持续完善 1000 n
持续加强 1000 n
持续强化 1000 n
持续深化 1000 n
持续开展 1000 n
